profile,scale,input_width,input_height,output_width,output_height,fps_target,clock_mhz,channels,blocks,macs_per_input_pixel,macs_per_frame,required_gmac_s,mac_lanes_for_target,dsp_1mac_per_dsp,dsp_2mac_per_dsp,candidate_lanes,fps_at_candidate_lanes,csv
official_x4_720p30_150m,4,320,180,1280,720,30,150,48,6,425232,24493363200,734.800896,4899,4899,2450,4096,25.084,runs/span_hardware_estimates/x4_320x180_30fps_150mhz.csv
official_x4_720p60_150m,4,320,180,1280,720,60,150,48,6,425232,24493363200,1469.601792,9798,9798,4899,8192,50.169,runs/span_hardware_estimates/x4_320x180_60fps_150mhz.csv
official_x2_720p30_150m,2,640,360,1280,720,30,150,48,6,409680,94390272000,2831.70816,18879,18879,9440,4096,6.509,runs/span_hardware_estimates/x2_640x360_30fps_150mhz.csv
official_x4_1080p30_150m,4,480,270,1920,1080,30,150,48,6,425232,55110067200,1653.302016,11023,11023,5512,12288,33.446,runs/span_hardware_estimates/x4_480x270_30fps_150mhz.csv
lite_x4_c16_b3_720p30_150m,4,320,180,1280,720,30,150,16,3,31408,1809100800,54.273024,362,362,181,512,42.452,runs/span_hardware_estimates/x4_320x180_30fps_150mhz_c16_b3.csv
lite_x4_c16_b6_720p30_150m,4,320,180,1280,720,30,150,16,6,52144,3003494400,90.104832,601,601,301,768,38.355,runs/span_hardware_estimates/x4_320x180_30fps_150mhz_c16_b6.csv
lite_x4_c24_b3_720p30_150m,4,320,180,1280,720,30,150,24,3,65160,3753216000,112.59648,751,751,376,1024,40.925,runs/span_hardware_estimates/x4_320x180_30fps_150mhz_c24_b3.csv
lite_x4_c32_b3_720p30_150m,4,320,180,1280,720,30,150,32,3,110944,6390374400,191.711232,1279,1279,640,2048,48.072,runs/span_hardware_estimates/x4_320x180_30fps_150mhz_c32_b3.csv
lite_x4_c16_b3_720p60_150m,4,320,180,1280,720,60,150,16,3,31408,1809100800,108.546048,724,724,362,1024,84.904,runs/span_hardware_estimates/x4_320x180_60fps_150mhz_c16_b3.csv
lite_x4_c16_b3_720p30_200m,4,320,180,1280,720,30,200,16,3,31408,1809100800,54.273024,272,272,136,512,56.603,runs/span_hardware_estimates/x4_320x180_30fps_200mhz_c16_b3.csv
lite_x4_c24_b3_720p30_200m,4,320,180,1280,720,30,200,24,3,65160,3753216000,112.59648,563,563,282,768,40.925,runs/span_hardware_estimates/x4_320x180_30fps_200mhz_c24_b3.csv
